zona;nome;cod_municipio;municipio;cod_distrito;distrito;popu
1;Sé;36;São Paulo;80;Sé;3262
2;Parque Dom Pedro;36;São Paulo;80;Sé;5695 
3;Praça João Mendes;36;São Paulo;80;Sé;17130 
4;Ladeira da Memória;36;São Paulo;67;República;24089 
5;República;36;São Paulo;67;República;14956 
6;Santa Ifigênia;36;São Paulo;67;República;21989 
7;Luz;36;São Paulo;9;Bom Retiro;18210 
8;Bom Retiro;36;São Paulo;9;Bom Retiro;12252 
9;Ponte Pequena;36;São Paulo;9;Bom Retiro;7456 
10;Canindé;36;São Paulo;57;Pari;1619 
11;Bom Jardim;36;São Paulo;57;Pari;2713 
12;Pari;36;São Paulo;57;Pari;14381 
13;João Teodoro;36;São Paulo;10;Brás;1435 
14;Oriente;36;São Paulo;10;Brás;3337 
15;Bresser;36;São Paulo;10;Brás;8427 
16;Brás;36;São Paulo;10;Brás;12117 
17;Gasômetro;36;São Paulo;10;Brás;6980 
18;Independência;36;São Paulo;14;Cambuci;19240 
19;Cambuci;36;São Paulo;14;Cambuci;20732 
20;Glicério;36;São Paulo;49;Liberdade;23063 
21;Aclimação;36;São Paulo;49;Liberdade;18691 
22;Pires da Mota;36;São Paulo;49;Liberdade;13623 
23;Centro Cultural;36;São Paulo;49;Liberdade;5332 
24;Liberdade;36;São Paulo;49;Liberdade;11423 
25;Treze de Maio;36;São Paulo;7;Bela Vista;18401 
26;Bexiga;36;São Paulo;7;Bela Vista;14281 
27;Bela Vista;36;São Paulo;7;Bela Vista;17536 
28;São Carlos do Pinhal;36;São Paulo;7;Bela Vista;9068 
29;Masp;36;São Paulo;7;Bela Vista;13251 
30;Higienópolis;36;São Paulo;26;Consolação;19455 
31;Vila Buarque;36;São Paulo;26;Consolação;20034 
32;Consolação;36;São Paulo;26;Consolação;8556 
33;Pacaembu;36;São Paulo;26;Consolação;1839 
34;FAAP;36;São Paulo;26;Consolação;7556 
35;Santa Cecília;36;São Paulo;70;Santa Cecília;40032 
36;Marechal Deodoro;36;São Paulo;70;Santa Cecília;43094 
37;Rudge;36;São Paulo;70;Santa Cecília;4607 
38;Catumbi;36;São Paulo;8;Belém;3786 
39;Belém;36;São Paulo;8;Belém;9357 
40;Quarta Parada;36;São Paulo;8;Belém;7878 
41;Belenzinho;36;São Paulo;8;Belém;22051 
42;Celso Garcia;36;São Paulo;8;Belém;5328 
43;Mooca;36;São Paulo;54;Mooca;27958 
44;Alto da Mooca;36;São Paulo;54;Mooca;18350 
45;Parque da Mooca;36;São Paulo;54;Mooca;33271 
46;Água Rasa;36;São Paulo;1;Água Rasa;36270 
47;Vila Bertioga;36;São Paulo;1;Água Rasa;23003 
48;Regente Feijó;36;São Paulo;1;Água Rasa;23924 
49;Ana Rosa;36;São Paulo;92;Vila Mariana;13386 
50;Jardim da Glória;36;São Paulo;92;Vila Mariana;8896 
51;Chácara Klabin;36;São Paulo;92;Vila Mariana;16085 
52;Vila Mariana;36;São Paulo;92;Vila Mariana;10145 
53;Santa Cruz;36;São Paulo;92;Vila Mariana;13293 
54;Vila Clementino;36;São Paulo;92;Vila Mariana;8715 
55;França Pinto;36;São Paulo;92;Vila Mariana;15518 
56;Rodrigues Alves;36;São Paulo;92;Vila Mariana;21617 
57;Paraíso;36;São Paulo;92;Vila Mariana;24334 
58;Bosque da Saúde;36;São Paulo;79;Saúde;30779 
59;Saúde;36;São Paulo;79;Saúde;52745 
60;Planalto Paulista;36;São Paulo;79;Saúde;22059 
61;Mirandópolis;36;São Paulo;79;Saúde;28100 
62;Parque Ibirapuera;36;São Paulo;53;Moema;4565 
63;Jardim Luzitânia;36;São Paulo;53;Moema;2099 
64;Moema;36;São Paulo;53;Moema;33386 
65;Vila Helena;36;São Paulo;53;Moema;26860 
66;Bandeirantes;36;São Paulo;53;Moema;10923 
67;Vila Nova Conceição;36;São Paulo;53;Moema;10574 
68;Chácara Itaim;36;São Paulo;34;Itaim Bibi;27460 
69;Vila Olímpia;36;São Paulo;34;Itaim Bibi;10021 
70;Hélio Pelegrino;36;São Paulo;34;Itaim Bibi;11703 
