zone;name
1;"Sé"
2;"Parque Dom Pedro"
3;"Praça João Mendes"
4;"Ladeira da Memória"
5;"República"
6;"Santa Ifigênia"
7;"Luz"
8;"Bom Retiro"
9;"Ponte Pequena"
10;"Canindé"
11;"Bom Jardim"
12;"Pari"
13;"João Teodoro"
14;"Oriente"
15;"Bresser"
16;"Brás"
17;"Gasômetro"
18;"Independência"
19;"Cambuci"
20;"Glicério"
21;"Aclimação"
22;"Pires da Mota"
23;"Centro Cultural"
24;"Liberdade"
25;"Treze de Maio"
26;"Bexiga"
27;"Bela Vista"
28;"São Carlos do Pinhal"
29;"Masp"
30;"Higienópolis"
31;"Vila Buarque"
32;"Consolação"
33;"Pacaembu"
34;"FAAP"
35;"Santa Cecília"
36;"Marechal Deodoro"
37;"Rudge"
38;"Catumbi"
39;"Belém"
40;"Quarta Parada"
41;"Belenzinho"
42;"Celso Garcia"
43;"Mooca"
44;"Alto da Mooca"
45;"Parque da Mooca"
46;"Água Rasa"
47;"Vila Bertioga"
48;"Regente Feijó"
49;"Ana Rosa"
50;"Jardim da Glória"
51;"Chácara Klabin"
52;"Vila Mariana"
53;"Santa Cruz"
54;"Vila Clementino"
55;"França Pinto"
56;"Rodrigues Alves"
57;"Paraíso"
58;"Bosque da Saúde"
59;"Saúde"
60;"Planalto Paulista"
61;"Mirandópolis"
62;"Parque Ibirapuera"
63;"Jardim Luzitânia"
64;"Moema"
65;"Vila Helena"
66;"Bandeirantes"
67;"Vila Nova Conceição"
68;"Chácara Itaim"
69;"Vila Olímpia"
70;"Hélio Pelegrino"
71;"Brooklin"
72;"Vila Cordeiro"
73;"Berrini"
74;"Campinas"
75;"Pamplona"
76;"Jardins"
77;"Clínicas"
78;"Oscar Freire"
79;"Trianon"
80;"Jardim Paulistano"
81;"Jardim Europa"
82;"Pinheiros"
83;"Vila Madalena"
84;"PUC"
85;"Cardoso de Almeida"
86;"Zequinha de Abreu"
87;"Sumaré"
88;"Perdizes"
89;"Vila Anglo Brasileira"
90;"Pompéia"
91;"Santa Marina"
92;"Barra Funda"
93;"Francisco Matarazzo"
94;"Água Branca"
95;"Vila Beatriz"
96;"Alto de Pinheiros"
97;"Boaçava"
98;"Vila Anastácio"
99;"Lapa de Baixo"
100;"Lapa"
101;"Vila Ipojuca"
102;"Alto da Lapa"
103;"Gavião Peixoto"
104;"Bela Aliança"
105;"Vila Hamburguesa"
106;"CEASA"
107;"Vila Leopoldina"
108;"Emissário"
109;"Vila Zatt"
110;"Pirituba"
111;"São Domingos"
112;"Jardim Mutinga"
113;"Vila Jaguara"
114;"Parque do Jaraguá"
115;"Nova Jaraguá"
116;"Parada de Taipas"
117;"Parque Morro Doce"
118;"Anhanguera"
119;"Perus"
120;"Vista Alegre"
121;"Jardim Damasceno"
122;"Vila Souza"
123;"Vila Terezinha"
124;"Brasilândia"
125;"Vila Morro Grande"
126;"Itaberaba"
127;"Freguesia do Ó"
128;"Carandiru"
129;"Santana"
130;"Zaki Narchi"
131;"Tietê"
132;"Parque Anhembi"
133;"Alfredo Pujol"
134;"Santa Terezinha"
135;"Jardim São Paulo"
136;"Casa Verde"
137;"Parque Peruche"
138;"Limão"
139;"Jardim Primavera"
140;"Vila Santa Maria"
141;"Cachoeirinha"
142;"Jardim Peri"
143;"Reserva da Cantareira"
144;"Mandaqui"
145;"Horto Florestal"
146;"ETA Guaraú"
147;"Parque Palmas do Tremembé"
148;"Tremembé"
149;"Cantareira"
150;"Jardim das Pedras"
151;"Jardim Guapira"
